"Order ID","Order Date","Ship Date","Ship Mode","Customer ID","Customer Name","Segment","City","State","Country","Market","Region","Product ID","Category","Sub-Category","Product Name","Sales","Quantity","Discount","Profit","Shipping Cost","Order Priority","","","","",""
"ES-2013-4632541","9/27/2013","9/27/2013","Same Day","SC-20305","Sean Christensen","Consumer","Benidorm","Valenciana","Spain","EU","South","FUR-BO-10002708","Furniture","Bookcases","Dania Library with Doors, Pine","1091.25","3","0","119.97","411.64","Critical","","","","",""
"MX-2014-115105","5/8/2014","5/10/2014","Second Class","JK-15370","Jay Kimmel","Consumer","Fernando de la Mora","Central","Paraguay","LATAM","South","TEC-PH-10003870","Technology","Phones","Samsung Signal Booster, VoIP","820.08","9","0","98.28","229.08","Critical","","","","",""
"IN-2014-68463","5/22/2014","5/25/2014","Second Class","DM-13345","Denise Monton","Corporate","Bokaro","Jharkhand","India","APAC","Central Asia","OFF-ST-10004060","Office Supplies","Storage","Fellowes Lockers, Blue","1865.97","9","0","802.17","413.95","Critical","","","","",""
"IR-2013-8520","8/2/2013","8/2/2013","Same Day","MZ-7515","Mary Zewe","Corporate","Shiraz","Fars","Iran","EMEA","EMEA","TEC-EPS-10000053","Technology","Machines","Epson Receipt Printer, Red","1141.8","10","0","570.9","415.01","Critical","","","","",""
"CA-2012-113404","7/16/2012","7/16/2012","Same Day","EM-13810","Eleni McCrary","Corporate","San Francisco","California","United States","US","West","FUR-CH-10003312","Furniture","Chairs","Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs","1348.7","6","0.2","-219.16","415.69","Critical","","","","",""
"IN-2013-48184","6/10/2013","6/10/2013","Same Day","NM-18445","Nathan Mautz","Home Office","Shenzhen","Guangdong","China","APAC","North Asia","FUR-CH-10003616","Furniture","Chairs","Novimex Executive Leather Armchair, Adjustable","1381.32","3","0","593.91","403.15","Critical","","","","",""
"IT-2011-4771701","9/21/2011","9/23/2011","Second Class","TW-21025","Tamara Willingham","Home Office","La Baule-Escoublac","Pays de la Loire","France","EU","Central","FUR-BO-10004999","Furniture","Bookcases","Safco Classic Bookcase, Metal","1181.55","3","0.1","498.81","401.25","Critical","","","","",""
"MZ-2014-140","6/28/2014","6/28/2014","Same Day","JW-5220","Jane Waco","Corporate","Maputo","Cidade De Maputo","Mozambique","Africa","Africa","OFF-ROG-10001101","Office Supplies","Storage","Rogers Shelving, Wire Frame","856.8","14","0","265.44","321.23","Critical","","","","",""
"CA-2014-152912","11/10/2014","11/13/2014","Second Class","BM-11650","Brian Moss","Corporate","Columbia","Maryland","United States","US","East","OFF-ST-10003208","Office Supplies","Storage","Adjustable Depth Letter/Legal Cart","1633.14","9","0","473.61","232.86","Critical","","","","",""
"IT-2014-5204858","9/30/2014","10/2/2014","First Class","SW-20275","Scott Williamson","Consumer","Ravenna","Emilia-Romagna","Italy","EU","South","TEC-PH-10002935","Technology","Phones","Samsung Smart Phone, VoIP","1145.23","3","0.4","-706.25","236.69","Critical","","","","",""
"ES-2014-4675868","12/30/2014","1/2/2015","First Class","HM-14860","Harry Marie","Corporate","Basel","Basel-Stadt","Switzerland","EU","Central","TEC-CO-10001008","Technology","Copiers","Canon Fax and Copier, Laser","1913.4","10","0","899.1","236.49","Critical","","","","",""
"ID-2011-72894","2/28/2011","3/3/2011","First Class","PS-18970","Paul Stevenson","Home Office","Seoul","Seoul","South Korea","APAC","North Asia","OFF-AP-10000675","Office Supplies","Appliances","Hamilton Beach Stove, White","810.72","3","0.5","-599.94","236.16","Critical","","","","",""
"IN-2011-51964","12/28/2011","12/29/2011","First Class","AB-10105","Adrian Barton","Consumer","Kochi","Kerala","India","APAC","Central Asia","TEC-CO-10002526","Technology","Copiers","Sharp Wireless Fax, Digital","1066.68","3","0","394.65","383.68","Critical","","","","",""
"EG-2013-4530","2/5/2013","2/7/2013","Second Class","MT-8070","Michelle Tran","Home Office","Girga","Suhaj","Egypt","Africa","Africa","FUR-SAU-10004653","Furniture","Bookcases","Sauder Classic Bookcase, Traditional","2615.94","6","0","1072.44","384.41","Critical","","","","",""
"IN-2013-85662","10/17/2013","10/19/2013","Second Class","CK-12595","Clytie Kelty","Consumer","Taupo","Waikato","New Zealand","APAC","Oceania","TEC-CO-10003226","Technology","Copiers","Canon Fax Machine, Laser","636.78","2","0","286.5","203.2","Critical","","","","",""
"UP-2011-5440","6/3/2011","6/5/2011","First Class","CC-2550","Clay Cheatham","Consumer","Kharkiv","Kharkiv","Ukraine","EMEA","EMEA","FUR-LES-10002026","Furniture","Tables","Lesro Conference Table, Rectangular","855.15","1","0","384.81","325.04","Critical","","","","",""
"CA-2011-141796","6/21/2011","6/21/2011","Same Day","JG-15160","James Galang","Consumer","Long Beach","New York","United States","US","East","TEC-PH-10001578","Technology","Phones","Polycom SoundStation2 EX Conference phone","1214.85","3","0","352.31","417.47","Critical","","","","",""
"ES-2014-2538638","10/15/2014","10/17/2014","Second Class","CS-11860","Cari Schnelling","Consumer","Vienna","Vienna","Austria","EU","Central","TEC-CO-10001375","Technology","Copiers","Brother Copy Machine, Color","1318.65","5","0","567","235.46","Critical","","","","",""
"IT-2011-3528798","11/6/2011","11/8/2011","First Class","CM-12655","Corinna Mitchell","Home Office","Laval","Pays de la Loire","France","EU","Central","TEC-MA-10004772","Technology","Machines","Konica Inkjet, White","1320.01","5","0.15","357.16","390.2","Critical","","","","",""
"ES-2014-2275791","6/21/2014","6/22/2014","First Class","MT-18070","Michelle Tran","Home Office","Rueil-Malmaison","Ile-de-France","France","EU","Central","FUR-BO-10003738","Furniture","Bookcases","Dania Library with Doors, Mobile","656.86","2","0.1","94.84","234.96","Critical","","s.d","1345.15913564","",""
"MX-2012-136987","5/24/2012","5/26/2012","Second Class","AF-10870","Art Ferguson","Consumer","Paranaguá","Parana","Brazil","LATAM","South","TEC-PH-10004182","Technology","Phones","Motorola Smart Phone, Full Size","856.92","2","0","222.76","234.28","Critical","","","","",""
"CA-2014-111556","11/21/2014","11/23/2014","First Class","CD-11920","Carlos Daly","Consumer","New York City","New York","United States","US","East","TEC-PH-10001459","Technology","Phones","Samsung Galaxy Mega 6.3","1259.97","3","0","327.59","394.57","Critical","","","","",""
"IN-2013-85662","10/17/2013","10/19/2013","Second Class","CK-12595","Clytie Kelty","Consumer","Taupo","Waikato","New Zealand","APAC","Oceania","FUR-BO-10001309","Furniture","Bookcases","Ikea Classic Bookcase, Traditional","823.5","2","0","172.92","260.6","Critical","","","","",""
"EG-2012-4640","3/30/2012","4/1/2012","First Class","JR-5670","Jim Radford","Consumer","Cairo","Al Qahirah","Egypt","Africa","Africa","TEC-NOK-10001283","Technology","Phones","Nokia Smart Phone, Full Size","1274.7","2","0","140.16","399.96","Critical","","","","",""
"SF-2014-2330","11/26/2014","11/29/2014","Second Class","AB-60","Adam Bellavance","Home Office","Cape Town","Western Cape","South Africa","Africa","Africa","OFF-HOO-10000318","Office Supplies","Appliances","Hoover Microwave, Silver","1237.56","4","0","606.36","400.03","Critical","","","","",""
"IT-2011-1646767","7/14/2011","7/15/2011","First Class","MS-17830","Melanie Seite","Consumer","London","England","United Kingdom","EU","North","TEC-MA-10001777","Technology","Machines","Okidata Printer, Red","956.34","4","0.1","-95.7","324.98","Critical","","","","",""
"ID-2013-17055","8/24/2013","8/26/2013","Second Class","HJ-14875","Heather Jas","Home Office","Luoyang","Henan","China","APAC","North Asia","FUR-TA-10002153","Furniture","Tables","Lesro Round Table, with Bottom Storage","2214.85","7","0.3","-221.57","382.1","Critical","","","","",""
"IR-2012-660","6/11/2012","6/12/2012","First Class","BM-1650","Brian Moss","Corporate","Kermanshah","Kermanshah","Iran","EMEA","EMEA","TEC-MOT-10002272","Technology","Phones","Motorola Smart Phone, with Caller ID","1291.08","2","0","296.94","319.58","Critical","","","","",""
"SF-2011-6380","2/15/2011","2/16/2011","First Class","PA-9060","Pete Armstrong","Home Office","Johannesburg","Gauteng","South Africa","Africa","Africa","OFF-SME-10000746","Office Supplies","Storage","Smead Lockers, Industrial","2784.6","14","0","779.52","422.25","Critical","","","","",""
"IN-2014-81154","9/19/2014","9/19/2014","Same Day","NL-18310","Nancy Lomonaco","Home Office","Christchurch","Canterbury","New Zealand","APAC","Oceania","TEC-CO-10000847","Technology","Copiers","Canon Personal Copier, Laser","856.44","6","0","222.66","268.13","Critical","","","","",""
"ES-2013-2220066","10/12/2013","10/12/2013","Same Day","JF-15295","Jason Fortune-","Consumer","Valencia","Valenciana","Spain","EU","South","TEC-AC-10001949","Technology","Accessories","Enermax Router, Bluetooth","1549.98","6","0","139.32","443.92","Critical","","","","",""
"CA-2012-102281","10/12/2012","10/14/2012","First Class","MP-17470","Mark Packer","Home Office","New York City","New York","United States","US","East","FUR-BO-10002613","Furniture","Bookcases","Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors","899.14","4","0.2","112.39","314.38","Critical","","","","",""
"CA-2014-120138","5/26/2014","5/26/2014","Same Day","TB-21625","Trudy Brown","Consumer","New York City","New York","United States","US","East","OFF-BI-10004519","Office Supplies","Binders","GBC DocuBind P100 Manual Binding Machine","663.92","5","0.2","207.47","314.27","Critical","","","","",""
"MX-2014-124744","12/17/2014","12/19/2014","First Class","MY-18295","Muhammed Yedwab","Corporate","Matagalpa","Matagalpa","Nicaragua","LATAM","Central","FUR-BO-10004472","Furniture","Bookcases","Dania Library with Doors, Pine","1212.5","5","0","606.2","269.52","Critical","","sd","1348.0945068756","",""
"IN-2013-72740","4/12/2013","4/14/2013","First Class","NF-18475","Neil Französisch","Home Office","Ningbo","Zhejiang","China","APAC","North Asia","OFF-AP-10001305","Office Supplies","Appliances","Breville Microwave, White","899.55","3","0","323.82","313.71","Critical","","","","",""
"IN-2012-45825","8/9/2012","8/11/2012","First Class","KB-16315","Karl Braun","Consumer","Kuala Lumpur","Kuala Lumpur","Malaysia","APAC","Southeast Asia","TEC-MA-10002392","Technology","Machines","Konica Card Printer, Wireless","1226.19","7","0","612.99","340.09","Critical","","","","",""
"ID-2012-81056","10/13/2012","10/16/2012","Second Class","LC-17050","Liz Carlisle","Consumer","Auckland","Auckland","New Zealand","APAC","Oceania","FUR-CH-10000051","Furniture","Chairs","Harbour Creations Executive Leather Armchair, Black","1136.66","4","0.4","-189.46","313.52","Critical","","","","",""
"MX-2011-126375","11/28/2011","11/30/2011","First Class","SC-20845","Sung Chung","Consumer","Monclova","Coahuila","Mexico","LATAM","North","TEC-MA-10003400","Technology","Machines","Panasonic Printer, Durable","533.22","3","0","69.3","222.04","Critical","","","","",""
"IT-2014-2185471","10/7/2014","10/8/2014","First Class","TB-21175","Thomas Boland","Corporate","Pozzuoli","Campania","Italy","EU","South","FUR-BO-10003559","Furniture","Bookcases","Sauder Stackable Bookrack, Pine","597.36","4","0","226.92","271.01","Critical","","","","",""
"CA-2013-134887","3/26/2013","3/26/2013","Same Day","TB-21280","Toby Braunhardt","Consumer","Norman","Oklahoma","United States","US","Central","TEC-AC-10003832","Technology","Accessories","Logitech P710e Mobile Speakerphone","1287.45","5","0","244.62","457.14","Critical","","","","",""
"IN-2011-10286","12/17/2011","12/20/2011","First Class","PB-19210","Phillip Breyer","Corporate","Taipei","Taipei City","Taiwan","APAC","North Asia","FUR-TA-10002153","Furniture","Tables","Lesro Round Table, with Bottom Storage","1356.03","3","0","311.85","458.97","Critical","","","","",""
"CA-2013-110492","2/12/2013","2/14/2013","First Class","JS-15880","John Stevenson","Consumer","Atlanta","Georgia","United States","US","South","OFF-ST-10003716","Office Supplies","Storage","Tennsco Double-Tier Lockers","1350.12","6","0","175.52","273.44","Critical","","","","",""
"IN-2012-53420","4/12/2012","4/14/2012","Second Class","LW-16825","Laurel Workman","Corporate","Nasik","Maharashtra","India","APAC","Central Asia","TEC-CO-10004961","Technology","Copiers","HP Wireless Fax, Color","723.3","2","0","332.7","273.63","Critical","","","","",""
"ES-2012-2287053","1/10/2012","1/11/2012","First Class","CS-11950","Carlos Soltero","Consumer","Haninge","Stockholm","Sweden","EU","North","OFF-AP-10004201","Office Supplies","Appliances","Breville Refrigerator, White","1293.67","5","0.5","-776.32","274.58","Critical","","","","",""
"UP-2014-4500","7/17/2014","7/19/2014","Second Class","DJ-3510","Don Jones","Corporate","Zhytomyr","Zhytomyr","Ukraine","EMEA","EMEA","OFF-HOO-10004910","Office Supplies","Appliances","Hoover Refrigerator, White","3146.4","6","0","629.28","443.55","Critical","","","","",""
"IT-2011-5629016","5/30/2011","6/2/2011","First Class","TC-21295","Toby Carlisle","Consumer","Talence","Aquitaine","France","EU","Central","FUR-TA-10000347","Furniture","Tables","Hon Computer Table, Adjustable Height","2228.64","7","0.35","-754.41","440.25","Critical","","","","",""
"SF-2012-9340","8/20/2012","8/22/2012","First Class","CP-2085","Cathy Prescott","Corporate","Potchefstroom","North-West","South Africa","Africa","Africa","FUR-SAU-10001776","Furniture","Bookcases","Sauder Stackable Bookrack, Pine","889.02","6","0","320.04","267.64","Critical","","sd","1345.15913564","",""
"ZA-2011-8980","9/8/2011","9/10/2011","Second Class","DB-3360","Dennis Bolton","Home Office","Kitwe","Copperbelt","Zambia","Africa","Africa","FUR-BEV-10004919","Furniture","Tables","Bevis Wood Table, with Bottom Storage","2134.44","4","0","682.92","315.57","Critical","","s.d","1350.0090441158","",""
"CA-2014-157966","3/14/2014","3/14/2014","Same Day","SU-20665","Stephanie Ulpright","Home Office","Chicago","Illinois","United States","US","Central","TEC-CO-10001449","Technology","Copiers","Hewlett Packard LaserJet 3310 Copier","959.98","2","0.2","335.99","227.5","Critical","","","","",""
"IN-2013-47071","8/20/2013","8/20/2013","Same Day","PL-18925","Paul Lucas","Home Office","Yangon","Yangon","Myanmar (Burma)","APAC","Southeast Asia","OFF-AP-10003275","Office Supplies","Appliances","KitchenAid Microwave, Silver","1549.13","6","0.17","-56.11","265.14","Critical","","","","",""
"IN-2013-48184","6/10/2013","6/10/2013","Same Day","NM-18445","Nathan Mautz","Home Office","Shenzhen","Guangdong","China","APAC","North Asia","TEC-CO-10003819","Technology","Copiers","Sharp Copy Machine, High-Speed","957.6","4","0","0","427.1","Critical","","","","",""
"ES-2011-3259196","10/13/2011","10/13/2011","Same Day","NB-18655","Nona Balk","Corporate","Hamburg","Hamburg","Germany","EU","Central","OFF-ST-10002900","Office Supplies","Storage","Smead Lockers, Wire Frame","1066.45","6","0.1","-11.93","427.24","Critical","","","","",""
"ID-2011-74175","11/23/2011","11/25/2011","First Class","BM-11140","Becky Martin","Consumer","Jakarta","Jakarta","Indonesia","APAC","Southeast Asia","TEC-MA-10004553","Technology","Machines","Epson Receipt Printer, Red","473.85","5","0.17","-5.85","226.73","Critical","","","","",""
"IV-2014-5230","12/10/2014","12/13/2014","Second Class","SV-10785","Stewart Visinsky","Consumer","Daloa","Haut-Sassandra","Cote d'Ivoire","Africa","Africa","TEC-BRO-10000374","Technology","Copiers","Brother Ink, Laser","1767.6","12","0","0","226.68","Critical","","","","",""
"ES-2014-1972860","9/1/2014","9/1/2014","Same Day","NF-18475","Neil Französisch","Home Office","Moers","North Rhine-Westphalia","Germany","EU","Central","OFF-AP-10003382","Office Supplies","Appliances","Breville Stove, White","1007.42","2","0.1","134.3","428.83","Critical","","","","",""
"ES-2013-2409754","4/4/2013","4/7/2013","First Class","BS-11590","Brendan Sweed","Corporate","Thionville","Lorraine","France","EU","Central","TEC-MA-10003780","Technology","Machines","Epson Card Printer, White","715.53","5","0.15","100.98","227.85","Critical","","","","",""
"IN-2014-48261","10/23/2014","10/25/2014","First Class","CY-12745","Craig Yedwab","Corporate","Bangalore","Karnataka","India","APAC","Central Asia","TEC-CO-10002376","Technology","Copiers","Hewlett Fax Machine, Laser","959.76","3","0","460.62","317.81","Critical","","","","",""
"CA-2013-165330","12/12/2013","12/12/2013","Same Day","WB-21850","William Brown","Consumer","Anaheim","California","United States","US","West","FUR-TA-10004619","Furniture","Tables","Hon Non-Folding Utility Tables","892.14","7","0.2","111.52","226.26","Critical","","","","",""
"IT-2013-4354136","12/19/2013","12/21/2013","Second Class","EH-14005","Erica Hernandez","Home Office","Burgos","Castile and León","Spain","EU","South","OFF-ST-10001478","Office Supplies","Storage","Tenex File Cart, Single Width","845.21","7","0.1","-9.49","265.85","Critical","","","","",""
"CM-2012-6440","12/13/2012","12/15/2012","First Class","BP-1230","Benjamin Patterson","Consumer","Yaounde","Centre","Cameroon","Africa","Africa","TEC-MEM-10002005","Technology","Accessories","Memorex Router, Erganomic","976.08","4","0","292.8","316.66","Critical","","","","",""
"ES-2012-5708011","12/4/2012","12/5/2012","First Class","HZ-14950","Henia Zydlo","Consumer","Bordeaux","Aquitaine","France","EU","Central","TEC-CO-10000660","Technology","Copiers","Hewlett Copy Machine, Color","667.77","3","0.15","274.92","266.02","Critical","","","","",""
"ID-2013-31720","5/1/2013","5/4/2013","Second Class","JS-16030","Joy Smith","Consumer","Medan","Sumatera Utara","Indonesia","APAC","Southeast Asia","FUR-TA-10003179","Furniture","Tables","Lesro Wood Table, Fully Assembled","1242.58","5","0.47","-140.72","437.85","Critical","","","","",""
"IN-2012-23782","12/26/2012","12/26/2012","Same Day","NC-18340","Nat Carroll","Consumer","Melbourne","Victoria","Australia","APAC","Oceania","FUR-TA-10003596","Furniture","Tables","Lesro Computer Table, Adjustable Height","1788.82","6","0.3","204.28","439.03","Critical","","","","",""
"IN-2013-65677","10/11/2013","10/14/2013","First Class","HD-14785","Harold Dahlen","Home Office","Shanghai","Shanghai","China","APAC","North Asia","TEC-MA-10004502","Technology","Machines","Epson Inkjet, Wireless","924.66","3","0","397.53","225","Critical","","","","",""
"IN-2014-56808","7/12/2014","7/14/2014","Second Class","AG-10330","Alex Grayson","Consumer","Jambi","Jambi","Indonesia","APAC","Southeast Asia","OFF-AP-10001956","Office Supplies","Appliances","Breville Refrigerator, Black","1722.28","4","0.17","539.44","430.04","Critical","","","","",""
"CA-2013-108987","9/9/2013","9/11/2013","Second Class","AG-10675","Anna Gayman","Consumer","Houston","Texas","United States","US","Central","FUR-BO-10004834","Furniture","Bookcases","Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish","2396.27","4","0.32","-317.15","469.16","Critical","","","","",""
"MX-2013-151764","9/21/2013","9/24/2013","Second Class","JL-15175","James Lanier","Home Office","Feira de Santana","Bahia","Brazil","LATAM","South","FUR-CH-10000843","Furniture","Chairs","SAFCO Executive Leather Armchair, Set of Two","1236.48","4","0","111.28","381.22","Critical","","","","",""
"ES-2013-1215823","8/17/2013","8/20/2013","Second Class","JD-16150","Justin Deggeller","Corporate","Tamworth","England","United Kingdom","EU","North","FUR-BO-10003103","Furniture","Bookcases","Ikea Classic Bookcase, Metal","1233.63","3","0","234.36","325.32","Critical","","","","",""
"US-2013-130855","1/8/2013","1/11/2013","Second Class","PG-18895","Paul Gonzalez","Consumer","Mérida","Yucatán","Mexico","LATAM","North","FUR-CH-10001332","Furniture","Chairs","Office Star Executive Leather Armchair, Red","751.49","3","0.2","-112.75","246.73","Critical","","","","",""
"ES-2012-4765389","12/26/2012","12/28/2012","Second Class","NM-18520","Neoma Murray","Consumer","Vigo","Galicia","Spain","EU","South","OFF-SU-10000076","Office Supplies","Supplies","Acme Trimmer, Easy Grip","600.6","13","0","131.82","255.57","Critical","","","","",""
"ES-2014-1972860","9/1/2014","9/1/2014","Same Day","NF-18475","Neil Französisch","Home Office","Moers","North Rhine-Westphalia","Germany","EU","Central","TEC-CO-10004567","Technology","Copiers","Brother Fax Machine, Color","1599.9","5","0","719.85","352.79","Critical","","","","",""
"ES-2011-1808201","11/4/2011","11/6/2011","Second Class","HK-14890","Heather Kirkland","Corporate","Drancy","Ile-de-France","France","EU","Central","TEC-MA-10004655","Technology","Machines","Konica Receipt Printer, White","820.49","8","0.15","183.29","246.09","Critical","","","","",""
"IN-2014-81154","9/19/2014","9/19/2014","Same Day","NL-18310","Nancy Lomonaco","Home Office","Christchurch","Canterbury","New Zealand","APAC","Oceania","OFF-ST-10004748","Office Supplies","Storage","Smead Lockers, Blue","1190.52","6","0","178.56","353.42","Critical","","","","",""
"CG-2014-4630","8/12/2014","8/15/2014","Second Class","DK-3375","Dennis Kane","Consumer","Kinshasa","Kinshasa","Democratic Republic of the Congo","Africa","Africa","TEC-STA-10003447","Technology","Machines","StarTech Printer, White","1018.32","4","0","183.24","255.69","Critical","","","","",""
"TZ-2013-3060","9/24/2013","9/24/2013","Same Day","HH-5010","Hilary Holden","Corporate","Dar es Salaam","Dar Es Salaam","Tanzania","Africa","Africa","OFF-HAM-10003368","Office Supplies","Appliances","Hamilton Beach Blender, Black","553.44","8","0","16.56","246.05","Critical","","","","",""
"US-2014-148817","4/21/2014","4/23/2014","Second Class","FM-14215","Filia McAdams","Corporate","Mixco","Guatemala","Guatemala","LATAM","Central","TEC-CO-10003931","Technology","Copiers","Hewlett Fax Machine, High-Speed","1058.28","5","0","-2.12","354.42","Critical","","","","",""
"IN-2014-16054","10/11/2014","10/13/2014","Second Class","PS-18760","Pamela Stobb","Consumer","Bandung","Jawa Barat","Indonesia","APAC","Southeast Asia","FUR-BO-10001541","Furniture","Bookcases","Bush Stackable Bookrack, Traditional","1029.26","9","0.07","10.82","354.47","Critical","","","","",""
"ES-2014-5554891","6/27/2014","6/27/2014","Same Day","CC-12100","Chad Cunningham","Home Office","Grenoble","Rhône-Alpes","France","EU","Central","TEC-CO-10004567","Technology","Copiers","Brother Fax Machine, Color","815.95","3","0.15","287.92","333.02","Critical","","","","",""
"ES-2012-5464624","7/13/2012","7/16/2012","Second Class","BG-11035","Barry Gonzalez","Consumer","Espoo","Uusimaa","Finland","EU","North","TEC-MA-10004609","Technology","Machines","Okidata Inkjet, White","1245","4","0","161.76","332.96","Critical","","","","",""
"CA-2013-147368","6/10/2013","6/13/2013","First Class","TC-21295","Toby Carlisle","Consumer","Tallahassee","Florida","United States","US","South","TEC-MA-10002178","Technology","Machines","Cisco CP-7937G Unified IP Conference Station Phone","695.7","2","0.5","-27.83","356.68","Critical","","","","",""
"IN-2013-81112","8/1/2013","8/4/2013","Second Class","TS-21205","Thomas Seio","Corporate","Canberra","Australian Capital Territory","Australia","APAC","Oceania","FUR-TA-10001276","Furniture","Tables","Lesro Coffee Table, with Bottom Storage","1512","6","0","498.96","356.84","Critical","","","","",""
"IN-2014-59426","2/11/2014","2/11/2014","Same Day","CC-12550","Clay Cheatham","Consumer","Whyalla","South Australia","Australia","APAC","Oceania","TEC-CO-10003448","Technology","Copiers","Canon Personal Copier, Laser","1027.73","8","0.1","182.69","332.2","Critical","","","","",""
"ID-2012-83604","8/28/2012","8/28/2012","Same Day","PO-19195","Phillina Ober","Home Office","Gold Coast","Queensland","Australia","APAC","Oceania","FUR-BO-10002866","Furniture","Bookcases","Safco Classic Bookcase, Pine","1582.2","6","0.4","-870.3","357.21","Critical","","","","",""
"CA-2014-145219","12/25/2014","12/26/2014","First Class","RM-19675","Robert Marley","Home Office","Los Angeles","California","United States","US","West","TEC-CO-10001449","Technology","Copiers","Hewlett Packard LaserJet 3310 Copier","2879.95","6","0.2","1007.98","334.15","Critical","","","","",""
"MX-2014-113845","9/12/2014","9/14/2014","First Class","CS-12460","Chuck Sachs","Consumer","Managua","Managua","Nicaragua","LATAM","Central","TEC-PH-10002815","Technology","Phones","Samsung Smart Phone, VoIP","848.32","2","0","110.28","351.07","Critical","","","","",""
"IN-2011-25084","3/10/2011","3/12/2011","First Class","BM-11785","Bryan Mills","Consumer","Zhenjiang","Jiangsu","China","APAC","North Asia","TEC-CO-10003354","Technology","Copiers","Brother Fax Machine, Laser","1274.16","4","0","382.2","248.59","Critical","","","","",""
"ID-2014-58271","11/13/2014","11/15/2014","Second Class","VF-21715","Vicky Freymann","Home Office","Manila","National Capital","Philippines","APAC","Southeast Asia","FUR-CH-10000602","Furniture","Chairs","Novimex Executive Leather Armchair, Red","1725.75","5","0.25","-483.3","350.68","Critical","","","","",""
"ES-2014-4032097","4/9/2014","4/12/2014","First Class","AF-10885","Art Foster","Consumer","Bayeux","Lower Normandy","France","EU","Central","OFF-ST-10002900","Office Supplies","Storage","Smead Lockers, Wire Frame","1244.19","7","0.1","-13.92","338.33","Critical","","","","",""
"ES-2014-1972860","9/1/2014","9/1/2014","Same Day","NF-18475","Neil Französisch","Home Office","Moers","North Rhine-Westphalia","Germany","EU","Central","TEC-CO-10001839","Technology","Copiers","Hewlett Fax and Copier, Laser","1350.09","7","0","256.41","253.73","Critical","","","","",""
